PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
CE,2306,Centro-Sul Cearense,1484209.47444674,1534860.96556507,1500028.07707753,1540324.52208512,1659093.00537722,1666816.15004348,1829324.25895432,1832750.89925748,2090007.393,2176019.62850332,2156366.6491022,2220428.18729799,2513076.75480088,2352408.56324248,2283646.71215825,2330103.25544477,2349256.71363613,2406528.12663894,2430987.05109667,2399382.39149974,
CE,2307,Sul Cearense,3672189.34279762,3703193.41382655,3621472.26034693,3730492.32168589,4287092.05795265,4320447.21169512,4765567.54893478,5046340.51334144,5554704.819,5931153.37117883,5882036.77655089,6101226.77969573,7024617.82698992,6701195.71319972,6517645.63120545,6896369.91458368,6606309.11056876,6875426.06139962,6721430.66725311,6486235.53491704,
DF,5301,Distrito Federal,102400476.976758,97336121.9938617,103654667.690875,108935954.338713,114053011.324012,118218602.119587,128336689.833674,134795963.436087,144174101.595,142698451.658924,140350549.175751,139945048.929671,145641742.978323,147865594.734356,149422860.936334,149750006.781924,149221954.680417,153735093.97348,140291067.781527,135952558.909077,
ES,3201,Noroeste Espírito-santense,3288989.79635123,3313821.36700575,3621576.63898903,4063860.55428573,4480394.53856613,4541903.2312498,4582192.65766139,4657678.22394224,5057570.193,5493088.36010351,5856383.82242758,5500693.15260215,5916305.07276144,5818866.80136584,5469957.70961676,5310030.63334616,5285320.17988274,5252740.18771281,5419055.28129481,5663601.59422576,
ES,3202,Litoral Norte Espírito-santense,7498852.42031084,8058161.20554406,8293338.81199403,9453936.62532254,11620327.5976225,12194431.2434976,13705077.0950855,10974882.090066,11774354.231,13583431.4346301,13191275.0050512,12749046.9102571,12011245.5283346,11589355.9534223,10060868.4098631,10333114.4485457,10755024.1962989,10229045.2652194,9761458.0373719,10585938.5653579,
ES,3203,Central Espírito-santense,35661978.5956672,35663232.827828,43512511.9633434,47442669.744387,49227562.935049,51805640.930099,56375901.5047714,50836241.106648,57316274.109,60326351.1346176,59329496.2786122,53494553.4268414,54921948.0697824,49711145.9617506,44111471.1403848,42612618.2790517,49579907.7731375,47281877.7744743,46406124.1917842,56847435.3580019,
ES,3204,Sul Espírito-santense,4936396.42919531,5447694.83828482,5972214.94542302,6675228.82447726,6696448.69435746,8231509.68659426,9216953.3363962,8576803.32410174,11162086.012,18434647.0942507,21561355.4682794,21554948.8871792,22151761.4766622,15426667.5982779,9673316.18588634,11135725.3756191,14619229.4724896,14406584.8460483,11473063.1681772,15188348.0489355,
GO,5201,Noroeste Goiano,2258129.75019821,2311669.80022276,2452102.06078387,2328253.78014044,2336554.72018808,2491886.19386915,2494073.35172982,2586976.57105889,2777011.992,2945950.65873241,3261010.08182971,3338591.39003382,3345085.76087193,3314528.65447029,3175847.78509663,3243296.37451818,3314042.689009,3360513.33787532,3721536.91866208,4026021.46670855,
GO,5202,Norte Goiano,3432921.03810244,3603390.36408475,3757656.9452927,3713495.21770014,3879627.79795594,5096673.75911595,4661364.89408883,4388463.44024066,4764891.058,5128433.34852243,5360531.99281341,4643003.46624188,4359523.08505261,4763507.19665066,3974483.79353708,4103545.10402453,4291997.13977936,4350234.54863879,4282624.49410604,4884233.12661653,
GO,5203,Centro Goiano,36411968.7407108,36636021.897564,37946286.9371234,39017190.8438973,43774075.1240188,47044034.2506919,48901575.387294,52436630.842926,56874615.403,59452232.6886472,61200485.710399,62300973.3588538,65744456.3467705,62657186.0435394,59024108.3735024,61132641.8722415,59123214.3882087,60447742.6763114,58620549.5779947,60900117.2609715,
